school_name,year_established,city,state,address,phone,whatsapp,email,principal_name,director_name,website,website_status,instagram,facebook,linkedin,google_maps,lead_score,notes
JMK Pre School,2022,Pathankot,Punjab,"Abrol Nagar, Near Punjab Mahal Palace",+919357896882,+919465781783,Unknown,Unknown,Unknown,,none,https://www.instagram.com/p/C1GYEN-vx0Y/,,,https://www.google.com/maps/search/JMK+Pre+School+Pathankot,10,2024-25 admissions post; phone-led enquiry; verify dedicated website in bio.
Bachpan Play School & International Amity School,2021,Banda,Uttar Pradesh,"Arun Bhawan, Kalu Kuwan, in front of Reliance Pump",+919984545111,+919839276494,bachpan.banda965@gmail.com,Unknown,Unknown,https://internationalamityschool.com/,active,https://www.instagram.com/bachpanbanda/,,,https://www.google.com/maps/search/Bachpan+Play+School+Banda,10,Gmail admission contact; tier-3 UP; active 2025-26 admissions on IG.
Dreamland Play School,2020,Cuttack,Odisha,"No. 5D/1389, Sector 10, Avinab Bidanasi",Unknown,Unknown,umeshagarawal1112@gmail.com,Unknown,Umesh Agarawal,,none,,,,https://www.google.com/maps/search/Dreamland+Avinab+Bidanasi+Cuttack,10,Sulekha-only listing; Gmail contact person Umesh Agarawal; no owned domain found.
Autumn Leaves Preschool,2022,Bengaluru,Karnataka,Yelahanka New Town,Unknown,Unknown,Unknown,Unknown,Unknown,,none,https://www.instagram.com/autumnleavesyelahankanewtown/,,,https://www.google.com/maps/search/Autumn+Leaves+Preschool+Yelahanka,10,2025-26 admissions reel; IG-native; no website in indexed snippets.
Autumn Leaves Preschool Ullal,2022,Bengaluru,Karnataka,Ullal,Unknown,Unknown,Unknown,Unknown,Unknown,,none,https://www.instagram.com/autumnleavesullal/,,,https://www.google.com/maps/search/Autumn+Leaves+Preschool+Ullal,10,Sibling branch; admissions 2025-26 posts; weak owned web presence.
Kidzee Preschool Airoli,2020,Navi Mumbai,Maharashtra,Airoli,+918452868008,+918452868008,Unknown,Unknown,Unknown,,none,https://www.instagram.com/kidzeeairoli/,,,https://www.google.com/maps/search/Kidzee+Airoli,10,Early-bird 2025-26 campaign; call-led admissions.
Kinder Joy Playschool,2021,Bhimavaram,Andhra Pradesh,"No. MIG-2-28, APHB Colony, Housing Board Colony, PP Road",Unknown,Unknown,playschool.kinderjoy@gmail.com,Unknown,Bhagavan Raju,,none,,,,https://www.google.com/maps/search/Kinder+Joy+Playschool+Bhimavaram,10,Sulekha listing with Gmail; contact Bhagavan Raju; tier-2 AP.
St. Xavier's Public School,2020,Basugaon,Assam,"Nichinapara, Basugaon-Chirang BTAD",+919707611179,+919720903234,st.xavierspublicschool2010@gmail.com,Unknown,Unknown,https://www.stxaviersbasugaon.egvm.in/,broken,,,,https://www.google.com/maps/search/St+Xaviers+Public+School+Basugaon,10,Gmail on subdomain egvm.in site; rural Assam CBSE; weak branding infrastructure.
GD Goenka Public School Bhagalpur,2023,Bhagalpur,Bihar,"JIcho, Bishunpur Jichho",+917672800010,+917672800011,Unknown,Unknown,Unknown,https://gdgoenkabhagalpur.com/,broken,,https://www.facebook.com/GDGoenkaBhagalpur/,,https://www.google.com/maps/search/GD+Goenka+Bhagalpur,10,2024-25 FB admissions; Bihar priority state; verify site maturity.
The New Tulip International School,2020,Ahmedabad,Gujarat,"Sterling City, Bopal",+917819069210,+917069021005,info@thenewtulipinternational.com,Unknown,Unknown,,none,,https://www.facebook.com/Thetulipschool/,,https://www.google.com/maps/search/New+Tulip+International+School+Bopal,10,FB post shows typo email; WhatsApp on poster; verify owned website status.
New Oxford School Sarjapur,2022,Bengaluru,Karnataka,Sarjapura,Unknown,Unknown,Unknown,Unknown,Unknown,,none,https://www.instagram.com/nos.official.cbse/,,,https://www.google.com/maps/search/New+Oxford+School+Sarjapur,10,2025-26 admissions on IG; verify website and management names.
J. K. International School Ranchi,2021,Ranchi,Jharkhand,Ranchi,+918828912891,+918828912891,Unknown,Unknown,Unknown,,none,,,,https://www.google.com/maps/search/JK+International+School+Ranchi,10,2026-27 admissions; directory-only discovery; verify owned site.
Footprints Preschool Shrirang Society,2021,Thane,Maharashtra,"Bungalow A21, Nikan Guruji Marg, Shrirang Society, Thane West",+919136262530,+919136262530,Unknown,Unknown,Unknown,,none,https://www.instagram.com/reel/DI0W2rOAibY/,,,https://www.google.com/maps/search/Footprints+Preschool+Thane+West,10,Influencer-format admissions post; phone CTA; chain centre.
LIMS The Genius English Medium School,2021,Pune,Maharashtra,Hinjewadi,+919145480912,+919545002259,kommuriprashanth@gmail.com,Unknown,Unknown,https://www.limgemschool.com/,broken,,,,https://www.google.com/maps/search/LIMS+Genius+School+Hinjewadi,10,Duplicate entity alias for Genius school; Gmail on admission page.
Birla Public School Sri Ganganagar,2022,Sri Ganganagar,Rajasthan,Sri Ganganagar,+919116138852,+919116138852,Unknown,Unknown,Unknown,,none,https://www.instagram.com/bpsganganagar/,,,https://www.google.com/maps/search/Birla+Public+School+Ganganagar,10,2025-26 admissions IG post; phone CTA; Rajasthan priority.
