PRIORITY OUTREACH LIST (lead_score >= 8)
Count: 36

- [10] JMK Pre School | Pathankot, Punjab | +919357896882 | Unknown
- [10] Bachpan Play School & International Amity School | Banda, Uttar Pradesh | +919984545111 | bachpan.banda965@gmail.com
- [10] Dreamland Play School | Cuttack, Odisha | Unknown | umeshagarawal1112@gmail.com
- [10] Autumn Leaves Preschool | Bengaluru, Karnataka | Unknown | Unknown
- [10] Autumn Leaves Preschool Ullal | Bengaluru, Karnataka | Unknown | Unknown
- [10] Kidzee Preschool Airoli | Navi Mumbai, Maharashtra | +918452868008 | Unknown
- [10] Kinder Joy Playschool | Bhimavaram, Andhra Pradesh | Unknown | playschool.kinderjoy@gmail.com
- [10] St. Xavier's Public School | Basugaon, Assam | +919707611179 | st.xavierspublicschool2010@gmail.com
- [10] GD Goenka Public School Bhagalpur | Bhagalpur, Bihar | +917672800010 | Unknown
- [10] The New Tulip International School | Ahmedabad, Gujarat | +917819069210 | info@thenewtulipinternational.com
- [10] New Oxford School Sarjapur | Bengaluru, Karnataka | Unknown | Unknown
- [10] J. K. International School Ranchi | Ranchi, Jharkhand | +918828912891 | Unknown
- [10] Footprints Preschool Shrirang Society | Thane, Maharashtra | +919136262530 | Unknown
- [10] LIMS The Genius English Medium School | Pune, Maharashtra | +919145480912 | kommuriprashanth@gmail.com
- [10] Birla Public School Sri Ganganagar | Sri Ganganagar, Rajasthan | +919116138852 | Unknown
- [10] S.S. Children Academy School | Jaipur, Rajasthan | +918118803203 | Unknown
- [10] Bachpan Play School Shamshabad | Hyderabad, Telangana | +919666635752 | Unknown
- [9] Kidzee Preschool & Daycare Punjabi Bagh | New Delhi, Delhi | +918586878428 | Unknown
- [9] Little Millennium Play School Patia | Bhubaneswar, Odisha | Unknown | Unknown
- [9] Delhi Public School Hinjawadi | Pune, Maharashtra | Unknown | Unknown
- [9] RP Goenka International School | Kolkata, West Bengal | Unknown | Unknown
- [9] Sant Ravidas Mission Gurukul School | Greater Noida, Uttar Pradesh | Unknown | Unknown
- [9] Swami Narayan Gurukul International School Tirupati | Tirupati, Andhra Pradesh | Unknown | Unknown
- [9] Chanakya Public School Bhubaneswar | Bhubaneswar, Odisha | Unknown | Unknown
- [9] Dartmouth Play School | Patna, Bihar | Unknown | Unknown
- [8] The Genius English Medium High School | Pune, Maharashtra | +919766290701 | kommuriprashanth@gmail.com
- [8] Pt. Deendayal Upadhyay Public School | Firozabad, Uttar Pradesh | Unknown | Unknown
- [8] Montessori School Patna | Patna, Bihar | Unknown | Unknown
- [8] Amadeus International School | Kolkata, West Bengal | Unknown | Unknown
- [8] Kidzee Kalinga Vihar | Bhubaneswar, Odisha | Unknown | Unknown
- [8] DNA Junior Pre-School CDA Cuttack | Cuttack, Odisha | Unknown | Unknown
- [8] Sanskar School Jaipur | Jaipur, Rajasthan | Unknown | Unknown
- [8] Adarsh Play School | Hyderabad, Telangana | +919440123333 | adarshplayschool@gmail.com
- [8] DPS Junior Play School Boring Road | Patna, Bihar | Unknown | Unknown
- [8] G D Goenka Toddler House Indira Nagar | Lucknow, Uttar Pradesh | Unknown | Unknown
- [8] Kidzee Vaishnavi Vihar Varanasi | Varanasi, Uttar Pradesh | Unknown | Unknown
